date,ticker,indicator,rsi
2022-10-04,AAPL,RSI,56.9936
2022-10-05,AAPL,RSI,50.5366
2022-10-06,AAPL,RSI,51.2083
2022-10-07,AAPL,RSI,62.5421
2022-10-10,AAPL,RSI,70.8131
2022-10-11,AAPL,RSI,68.1008
2022-10-12,AAPL,RSI,48.0192
2022-10-13,AAPL,RSI,48.6695
2022-10-14,AAPL,RSI,46.4887
2022-10-17,AAPL,RSI,32.9857
2022-10-18,AAPL,RSI,34.0134
2022-10-19,AAPL,RSI,36.2172
2022-10-20,AAPL,RSI,37.716
2022-10-21,AAPL,RSI,34.481
2022-10-24,AAPL,RSI,34.6859
2022-10-25,AAPL,RSI,33.7317
2022-10-26,AAPL,RSI,30.535
2022-10-27,AAPL,RSI,27.0444
2022-10-28,AAPL,RSI,29.9214
2022-10-31,AAPL,RSI,33.7436
2022-11-01,AAPL,RSI,41.3468
2022-11-02,AAPL,RSI,38.6222
2022-11-03,AAPL,RSI,41.3658
2022-11-04,AAPL,RSI,49.3512
2022-11-07,AAPL,RSI,56.1926
2022-11-08,AAPL,RSI,51.1207
2022-11-09,AAPL,RSI,45.9491
2022-11-10,AAPL,RSI,57.0801
2022-11-11,AAPL,RSI,68.7806
2022-11-14,AAPL,RSI,77.5533
2022-11-15,AAPL,RSI,73.313
2022-11-16,AAPL,RSI,68.8501
2022-11-17,AAPL,RSI,58.1742
2022-11-18,AAPL,RSI,49.7523
2022-11-21,AAPL,RSI,51.9455
2022-11-22,AAPL,RSI,60.2892
2022-11-23,AAPL,RSI,57.5758
2022-11-24,AAPL,RSI,53.6473
2022-11-25,AAPL,RSI,44.9213
2022-11-28,AAPL,RSI,48.0282
2022-11-29,AAPL,RSI,44.2519
2022-11-30,AAPL,RSI,41.8504
2022-12-01,AAPL,RSI,27.8903
2022-12-02,AAPL,RSI,14.6448
2022-12-05,AAPL,RSI,13.7784
2022-12-06,AAPL,RSI,12.6959
2022-12-07,AAPL,RSI,26.6115
2022-12-08,AAPL,RSI,25.5303
2022-12-09,AAPL,RSI,22.0127
2022-12-12,AAPL,RSI,23.7581
2022-12-13,AAPL,RSI,36.9991
2022-12-14,AAPL,RSI,36.0484
2022-12-15,AAPL,RSI,40.5495
2022-12-16,AAPL,RSI,42.2311
2022-12-19,AAPL,RSI,50.9032
2022-12-20,AAPL,RSI,49.5108
2022-12-21,AAPL,RSI,51.407
2022-12-22,AAPL,RSI,53.8522
2022-12-23,AAPL,RSI,60.9032
2022-12-26,AAPL,RSI,64.9656
2022-12-27,AAPL,RSI,59.1831
2022-12-28,AAPL,RSI,58.4909
2022-12-29,AAPL,RSI,62.1674
2022-12-30,AAPL,RSI,55.0714
2023-01-02,AAPL,RSI,41.8439
2023-01-03,AAPL,RSI,45.2055
2023-01-04,AAPL,RSI,50.345
2023-01-05,AAPL,RSI,54.0734
2023-01-06,AAPL,RSI,44.2122
2023-01-09,AAPL,RSI,54.0078
2023-01-10,AAPL,RSI,56.42
2023-01-11,AAPL,RSI,50.4789
2023-01-12,AAPL,RSI,40.5509
2023-01-13,AAPL,RSI,46.4584
2023-01-16,AAPL,RSI,46.7581
2023-01-17,AAPL,RSI,73.5475
2023-01-18,AAPL,RSI,80.96
2023-01-19,AAPL,RSI,84.3007
2023-01-20,AAPL,RSI,76.1287
2023-01-23,AAPL,RSI,70.8763
2023-01-24,AAPL,RSI,73.1417
2023-01-25,AAPL,RSI,71.1777
2023-01-26,AAPL,RSI,72.2459
2023-01-27,AAPL,RSI,59.4254
2023-01-30,AAPL,RSI,62.4621
2023-01-31,AAPL,RSI,63.895
2023-02-01,AAPL,RSI,61.6041
2023-02-02,AAPL,RSI,58.4665
2023-02-03,AAPL,RSI,59.6968
2023-02-06,AAPL,RSI,52.6668
2023-02-07,AAPL,RSI,43.517
2023-02-08,AAPL,RSI,40.623
2023-02-09,AAPL,RSI,43.0895
2023-02-10,AAPL,RSI,50.3709
2023-02-13,AAPL,RSI,52.0675
2023-02-14,AAPL,RSI,37.809
2023-02-15,AAPL,RSI,33.8943
2023-02-16,AAPL,RSI,42.3992
2023-02-17,AAPL,RSI,37.782
2023-02-20,AAPL,RSI,32.2705
2023-02-21,AAPL,RSI,30.1191
2023-02-22,AAPL,RSI,34.5282
2023-02-23,AAPL,RSI,43.7634
2023-02-24,AAPL,RSI,37.5274
2023-02-27,AAPL,RSI,42.9091
2023-02-28,AAPL,RSI,42.1334
2023-03-01,AAPL,RSI,42.8277
2023-03-02,AAPL,RSI,38.6384
2023-03-03,AAPL,RSI,29.5102
2023-03-06,AAPL,RSI,46.1325
2023-03-07,AAPL,RSI,50.1161
2023-03-08,AAPL,RSI,56.5169
2023-03-09,AAPL,RSI,59.6043
2023-03-10,AAPL,RSI,62.7055
2023-03-13,AAPL,RSI,76.181
2023-03-14,AAPL,RSI,76.4952
2023-03-15,AAPL,RSI,75.137
2023-03-16,AAPL,RSI,82.9878
2023-03-17,AAPL,RSI,81.7885
2023-03-20,AAPL,RSI,78.3883
2023-03-21,AAPL,RSI,80.6188
2023-03-22,AAPL,RSI,78.6065
2023-03-23,AAPL,RSI,81.8327
2023-03-24,AAPL,RSI,78.6725
2023-03-27,AAPL,RSI,79.9279
2023-03-28,AAPL,RSI,78.5288
2023-03-29,AAPL,RSI,80.0851
2023-03-30,AAPL,RSI,80.7349
2023-03-31,AAPL,RSI,66.4553
2023-04-03,AAPL,RSI,64.8675
2023-04-04,AAPL,RSI,55.7003
2023-04-05,AAPL,RSI,54.6053
2023-04-06,AAPL,RSI,59.5609
2023-04-07,AAPL,RSI,64.5983
2023-04-10,AAPL,RSI,58.4253
2023-04-11,AAPL,RSI,58.9426
2023-04-12,AAPL,RSI,56.527
2023-04-13,AAPL,RSI,52.0638
2023-04-14,AAPL,RSI,45.0576
2023-04-17,AAPL,RSI,43.0496
2023-04-18,AAPL,RSI,39.4916
2023-04-19,AAPL,RSI,38.6246
2023-04-20,AAPL,RSI,36.5544
2023-04-21,AAPL,RSI,38.3268
2023-04-24,AAPL,RSI,42.9224
2023-04-25,AAPL,RSI,47.0475
2023-04-26,AAPL,RSI,47.4317
2023-04-27,AAPL,RSI,36.7333
2023-04-28,AAPL,RSI,37.191
2023-05-01,AAPL,RSI,43.4558
2023-05-02,AAPL,RSI,38.3107
2023-05-03,AAPL,RSI,48.0674
2023-05-04,AAPL,RSI,51.8295
2023-05-05,AAPL,RSI,53.6551
2023-05-08,AAPL,RSI,47.4456
2023-05-09,AAPL,RSI,48.1957
2023-05-10,AAPL,RSI,61.842
2023-05-11,AAPL,RSI,61.6786
2023-05-12,AAPL,RSI,62.2157
2023-05-15,AAPL,RSI,61.8468
2023-05-16,AAPL,RSI,51.8268
2023-05-17,AAPL,RSI,62.3379
2023-05-18,AAPL,RSI,65.1841
2023-05-19,AAPL,RSI,64.5118
2023-05-22,AAPL,RSI,80.3177
2023-05-23,AAPL,RSI,66.3157
2023-05-24,AAPL,RSI,63.8366
2023-05-25,AAPL,RSI,66.7394
2023-05-26,AAPL,RSI,65.0973
2023-05-29,AAPL,RSI,55.7385
2023-05-30,AAPL,RSI,50.966
2023-05-31,AAPL,RSI,54.5471
2023-06-01,AAPL,RSI,53.3058
2023-06-02,AAPL,RSI,58.7771
2023-06-05,AAPL,RSI,68.2424
2023-06-06,AAPL,RSI,71.9816
2023-06-07,AAPL,RSI,74.5111
2023-06-08,AAPL,RSI,78.8765
2023-06-09,AAPL,RSI,75.6922
2023-06-12,AAPL,RSI,68.6323
2023-06-13,AAPL,RSI,72.8803
2023-06-14,AAPL,RSI,67.3621
2023-06-15,AAPL,RSI,71.4655
2023-06-16,AAPL,RSI,78.6584
2023-06-19,AAPL,RSI,69.0695
2023-06-20,AAPL,RSI,61.4904
2023-06-21,AAPL,RSI,55.4489
2023-06-22,AAPL,RSI,49.2895
2023-06-23,AAPL,RSI,47.968
2023-06-26,AAPL,RSI,46.8734
2023-06-27,AAPL,RSI,45.8599
2023-06-28,AAPL,RSI,32.0487
2023-06-29,AAPL,RSI,28.0286
2023-06-30,AAPL,RSI,32.6507
2023-07-03,AAPL,RSI,22.7635
2023-07-04,AAPL,RSI,26.2588
2023-07-05,AAPL,RSI,29.2022
2023-07-06,AAPL,RSI,21.7826
2023-07-07,AAPL,RSI,30.3996
2023-07-10,AAPL,RSI,36.0164
2023-07-11,AAPL,RSI,46.371
2023-07-12,AAPL,RSI,46.8873
2023-07-13,AAPL,RSI,43.255
2023-07-14,AAPL,RSI,40.9888
2023-07-17,AAPL,RSI,44.4696
2023-07-18,AAPL,RSI,50.4208
2023-07-19,AAPL,RSI,73.4701
2023-07-20,AAPL,RSI,70.3196
2023-07-21,AAPL,RSI,74.1962
2023-07-24,AAPL,RSI,75.818
2023-07-25,AAPL,RSI,53.905
2023-07-26,AAPL,RSI,45.4768
2023-07-27,AAPL,RSI,34.4187
2023-07-28,AAPL,RSI,26.5137
2023-07-31,AAPL,RSI,21.6241
2023-08-01,AAPL,RSI,27.5318
2023-08-02,AAPL,RSI,27.3515
2023-08-03,AAPL,RSI,27.1966
2023-08-04,AAPL,RSI,28.0706
2023-08-07,AAPL,RSI,35.9679
2023-08-08,AAPL,RSI,32.8987
2023-08-09,AAPL,RSI,40.1407
2023-08-10,AAPL,RSI,40.9455
2023-08-11,AAPL,RSI,34.5204
2023-08-14,AAPL,RSI,39.0311
2023-08-15,AAPL,RSI,38.6892
2023-08-16,AAPL,RSI,40.8861
2023-08-17,AAPL,RSI,49.2261
2023-08-18,AAPL,RSI,56.31
2023-08-21,AAPL,RSI,60.1515
2023-08-22,AAPL,RSI,54.5829
2023-08-23,AAPL,RSI,55.3081
2023-08-24,AAPL,RSI,46.8674
2023-08-25,AAPL,RSI,42.917
2023-08-28,AAPL,RSI,42.6963
2023-08-29,AAPL,RSI,29.5806
2023-08-30,AAPL,RSI,33.8875
2023-08-31,AAPL,RSI,34.7003
2023-09-01,AAPL,RSI,34.9977
2023-09-04,AAPL,RSI,36.4966
2023-09-05,AAPL,RSI,37.3702
2023-09-06,AAPL,RSI,40.6242
2023-09-07,AAPL,RSI,35.7441
2023-09-08,AAPL,RSI,26.4103
2023-09-11,AAPL,RSI,33.7453
2023-09-12,AAPL,RSI,39.6436
2023-09-13,AAPL,RSI,42.8902
2023-09-14,AAPL,RSI,33.8045
2023-09-15,AAPL,RSI,40.4858
2023-09-18,AAPL,RSI,47.207
2023-09-19,AAPL,RSI,48.1517
2023-09-20,AAPL,RSI,53.419
2023-09-21,AAPL,RSI,55.798
2023-09-22,AAPL,RSI,64.7019
2023-09-25,AAPL,RSI,76.0276
2023-09-26,AAPL,RSI,79.772
2023-09-27,AAPL,RSI,81.0579
2023-09-28,AAPL,RSI,80.8373
2023-09-29,AAPL,RSI,82.1847
2023-10-02,AAPL,RSI,73.6864
2023-10-03,AAPL,RSI,76.5446
2023-10-04,AAPL,RSI,87.0696
2023-10-05,AAPL,RSI,86.1917
2023-10-06,AAPL,RSI,81.061
2023-10-09,AAPL,RSI,66.3119
2023-10-10,AAPL,RSI,53.8322
2023-10-11,AAPL,RSI,49.8786
2023-10-12,AAPL,RSI,46.9642
2023-10-13,AAPL,RSI,37.2186
2023-10-16,AAPL,RSI,35.7275
2023-10-17,AAPL,RSI,40.9955
2023-10-18,AAPL,RSI,37.1621
2023-10-19,AAPL,RSI,33.073
2023-10-20,AAPL,RSI,34.5089
2023-10-23,AAPL,RSI,31.6112
2023-10-24,AAPL,RSI,32.7987
2023-10-25,AAPL,RSI,34.295
2023-10-26,AAPL,RSI,35.9594
2023-10-27,AAPL,RSI,47.6983
2023-10-30,AAPL,RSI,52.3097
2023-10-31,AAPL,RSI,58.7167
2023-11-01,AAPL,RSI,70.5203
2023-11-02,AAPL,RSI,72.817
2023-11-03,AAPL,RSI,72.0382
2023-11-06,AAPL,RSI,69.2474
2023-11-07,AAPL,RSI,78.1954
2023-11-08,AAPL,RSI,77.0231
2023-11-09,AAPL,RSI,78.8922
2023-11-10,AAPL,RSI,74.168
2023-11-13,AAPL,RSI,74.9166
2023-11-14,AAPL,RSI,66.6823
2023-11-15,AAPL,RSI,70.9949
2023-11-16,AAPL,RSI,71.3471
2023-11-17,AAPL,RSI,80.6793
2023-11-20,AAPL,RSI,78.3044
2023-11-21,AAPL,RSI,72.8601
2023-11-22,AAPL,RSI,69.1776
2023-11-23,AAPL,RSI,67.3769
2023-11-24,AAPL,RSI,52.6575
2023-11-27,AAPL,RSI,47.4451
2023-11-28,AAPL,RSI,38.7714
2023-11-29,AAPL,RSI,34.6462
2023-11-30,AAPL,RSI,43.5664
2023-12-01,AAPL,RSI,45.4529
2023-12-04,AAPL,RSI,45.9915
2023-12-05,AAPL,RSI,38.392
2023-12-06,AAPL,RSI,26.8813
2023-12-07,AAPL,RSI,24.1435
2023-12-08,AAPL,RSI,33.942
2023-12-11,AAPL,RSI,33.6494
2023-12-12,AAPL,RSI,33.2648
2023-12-13,AAPL,RSI,31.0559
2023-12-14,AAPL,RSI,32.0197
2023-12-15,AAPL,RSI,32.1673
2023-12-18,AAPL,RSI,37.2
2023-12-19,AAPL,RSI,41.1707
2023-12-20,AAPL,RSI,38.397
2023-12-21,AAPL,RSI,35.4754
2023-12-22,AAPL,RSI,41.0556
2023-12-25,AAPL,RSI,44.1679
2023-12-26,AAPL,RSI,63.1254
2023-12-27,AAPL,RSI,71.6832
2023-12-28,AAPL,RSI,57.3911
2023-12-29,AAPL,RSI,50.3423
2024-01-01,AAPL,RSI,59.1394
2024-01-02,AAPL,RSI,56.27
2024-01-03,AAPL,RSI,70.7834
2024-01-04,AAPL,RSI,69.5762
2024-01-05,AAPL,RSI,73.2179
2024-01-08,AAPL,RSI,73.9536
2024-01-09,AAPL,RSI,72.8882
2024-01-10,AAPL,RSI,75.7647
2024-01-11,AAPL,RSI,72.1778
2024-01-12,AAPL,RSI,70.1508
2024-01-15,AAPL,RSI,65.402
2024-01-16,AAPL,RSI,61.9595
2024-01-17,AAPL,RSI,58.3304
2024-01-18,AAPL,RSI,65.0522
2024-01-19,AAPL,RSI,57.5812
2024-01-22,AAPL,RSI,62.7109
2024-01-23,AAPL,RSI,46.4983
2024-01-24,AAPL,RSI,45.3211
2024-01-25,AAPL,RSI,33.6928
2024-01-26,AAPL,RSI,31.0958
2024-01-29,AAPL,RSI,30.8846
2024-01-30,AAPL,RSI,21.2132
2024-01-31,AAPL,RSI,21.4803
2024-02-01,AAPL,RSI,23.1141
2024-02-02,AAPL,RSI,25.4942
2024-02-05,AAPL,RSI,20.2597
2024-02-06,AAPL,RSI,28.3829
2024-02-07,AAPL,RSI,28.0869
2024-02-08,AAPL,RSI,32.1821
2024-02-09,AAPL,RSI,27.6231
2024-02-12,AAPL,RSI,39.7021
2024-02-13,AAPL,RSI,56.7945
2024-02-14,AAPL,RSI,69.1601
2024-02-15,AAPL,RSI,74.0276
2024-02-16,AAPL,RSI,65.6218
2024-02-19,AAPL,RSI,58.7194
2024-02-20,AAPL,RSI,52.4618
2024-02-21,AAPL,RSI,48.76
2024-02-22,AAPL,RSI,47.4118
2024-02-23,AAPL,RSI,54.1868
2024-02-26,AAPL,RSI,50.9277
2024-02-27,AAPL,RSI,43.0681
2024-02-28,AAPL,RSI,46.0144
2024-02-29,AAPL,RSI,46.977
2024-03-01,AAPL,RSI,44.4583
2024-03-04,AAPL,RSI,26.1375
2024-03-05,AAPL,RSI,31.3046
2024-03-06,AAPL,RSI,34.1898
2024-03-07,AAPL,RSI,31.6956
2024-03-08,AAPL,RSI,35.717
2024-03-11,AAPL,RSI,44.6333
2024-03-12,AAPL,RSI,44.6569
2024-03-13,AAPL,RSI,46.5269
2024-03-14,AAPL,RSI,36.4098
2024-03-15,AAPL,RSI,44.513
2024-03-18,AAPL,RSI,54.6721
2024-03-19,AAPL,RSI,48.9268
2024-03-20,AAPL,RSI,46.7703
2024-03-21,AAPL,RSI,37.3439
2024-03-22,AAPL,RSI,35.9342
2024-03-25,AAPL,RSI,31.902
2024-03-26,AAPL,RSI,28.1389
2024-03-27,AAPL,RSI,35.9818
2024-03-28,AAPL,RSI,45.1447
2024-03-29,AAPL,RSI,40.4601
2024-04-01,AAPL,RSI,40.7806
2024-04-02,AAPL,RSI,40.9078
2024-04-03,AAPL,RSI,51.3801
2024-04-04,AAPL,RSI,42.5987
2024-04-05,AAPL,RSI,38.1893
2024-04-08,AAPL,RSI,46.2415
2024-04-09,AAPL,RSI,40.1874
2024-04-10,AAPL,RSI,43.6128
2024-04-11,AAPL,RSI,45.9035
2024-04-12,AAPL,RSI,45.2432
2024-04-15,AAPL,RSI,51.4859
2024-04-16,AAPL,RSI,49.9218
2024-04-17,AAPL,RSI,36.5252
2024-04-18,AAPL,RSI,42.2656
2024-04-19,AAPL,RSI,43.201
2024-04-22,AAPL,RSI,47.1827
2024-04-23,AAPL,RSI,38.3673
2024-04-24,AAPL,RSI,40.384
2024-04-25,AAPL,RSI,41.6393
2024-04-26,AAPL,RSI,35.9925
2024-04-29,AAPL,RSI,44.956
2024-04-30,AAPL,RSI,43.3693
2024-05-01,AAPL,RSI,47.8079
2024-05-02,AAPL,RSI,45.7075
2024-05-03,AAPL,RSI,42.8283
2024-05-06,AAPL,RSI,36.677
2024-05-07,AAPL,RSI,45.4337
2024-05-08,AAPL,RSI,39.6737
2024-05-09,AAPL,RSI,37.4892
2024-05-10,AAPL,RSI,34.0897
2024-05-13,AAPL,RSI,37.5813
2024-05-14,AAPL,RSI,37.7838
2024-05-15,AAPL,RSI,42.2145
2024-05-16,AAPL,RSI,36.5698
2024-05-17,AAPL,RSI,34.0206
2024-05-20,AAPL,RSI,42.3451
2024-05-21,AAPL,RSI,36.233
2024-05-22,AAPL,RSI,43.9186
2024-05-23,AAPL,RSI,39.9104
2024-05-24,AAPL,RSI,45.039
2024-05-27,AAPL,RSI,50.3961
2024-05-28,AAPL,RSI,49.1175
2024-05-29,AAPL,RSI,43.9068
2024-05-30,AAPL,RSI,47.971
2024-05-31,AAPL,RSI,56.562
2024-06-03,AAPL,RSI,57.3703
2024-06-04,AAPL,RSI,44.9061
2024-06-05,AAPL,RSI,45.3635
2024-06-06,AAPL,RSI,44.3176
2024-06-07,AAPL,RSI,42.6256
2024-06-10,AAPL,RSI,41.2888
2024-06-11,AAPL,RSI,41.5937
2024-06-12,AAPL,RSI,45.1954
2024-06-13,AAPL,RSI,42.1709
2024-06-14,AAPL,RSI,39.4511
2024-06-17,AAPL,RSI,49.6603
2024-06-18,AAPL,RSI,59.1253
2024-06-19,AAPL,RSI,52.4902
2024-06-20,AAPL,RSI,39.7872
2024-06-21,AAPL,RSI,45.0902
2024-06-24,AAPL,RSI,46.2251
2024-06-25,AAPL,RSI,48.5525
2024-06-26,AAPL,RSI,48.0643
2024-06-27,AAPL,RSI,56.8454
2024-06-28,AAPL,RSI,61.6744
2024-07-01,AAPL,RSI,65.327
2024-07-02,AAPL,RSI,57.9339
2024-07-03,AAPL,RSI,67.3333
2024-07-04,AAPL,RSI,66.3855
2024-07-05,AAPL,RSI,54.0863
2024-07-08,AAPL,RSI,54.1275
2024-07-09,AAPL,RSI,60.8772
2024-07-10,AAPL,RSI,59.8156
2024-07-11,AAPL,RSI,49.3748
2024-07-12,AAPL,RSI,57.345
2024-07-15,AAPL,RSI,52.2208
2024-07-16,AAPL,RSI,52.42
2024-07-17,AAPL,RSI,43.1525
2024-07-18,AAPL,RSI,37.3501
2024-07-19,AAPL,RSI,22.4646
2024-07-22,AAPL,RSI,28.4098
2024-07-23,AAPL,RSI,22.7072
2024-07-24,AAPL,RSI,16.0812
2024-07-25,AAPL,RSI,22.182
